,Organization Name,NY Reg #,EIN,Registrant Type,City,State
0,,,,,,
1,"""Studio 5404"" Inc.",44-39-58,463180470,NFP,MASSAPAQUA,NY
2,"""THEY ARE HAITIAN"" FUND, INC.",20-63-46,300170128,NFP,HUDSON,NY
3,"(ASMA) American Syrian Multicultural Association, Inc.",42-84-63,273130182,NFP,BROOKLYN,NY
4,#HicksStrong Inc.,48-10-48,842612081,NFP,CLIFTON PARK,NY
5,#WalkAway Foundation,47-15-80,832820906,NFP,CARLSBAD,CA
6,04/11 10:17 PM test,47-13-95,206256427,NFP,ALBANY,NY
7,1/20/21 Action Fund,46-99-13,832210730,NFP,SAN FRANCISCO,CA
8,"10/40 Connections, Inc.",45-70-15,621825230,NFP,HIXSON,TN
9,"1000 Feet Project, Inc",45-00-14,473820859,NFP,NEW YORK,NY
10,1000 Islands Hose Haulers,45-38-38,454570241,NFP,CARTHAGE,NY
11,"1004 Foundation, Inc.",45-00-13,463110658,NFP,LONG ISLAND CITY,NY
12,"100 BLACK MEN OF LONG ISLAND DEVELOPMENT GROUP, INC.",20-08-47,113617702,NFP,HEMPSTEAD,NY
13,100 BLACKS WHO CARE INC,06-42-84,311628801,NFP,BROOKLYN,NY
14,100 BLACK WOMEN OF LONG ISLAND FOUNDATION INC,05-79-45,113101805,NFP,GARDEN CITY,NY
15,"100Cameras, Inc.",43-16-19,264692506,NFP,NEW YORK,NY
